,host_is_superhost,host_has_profile_pic,host_identity_verified,accommodates,number_of_reviews,latitude,longitude,room_type,maximum_nights,availability_30,bedrooms,beds,price,minimum_nights,availability_60,availability_90,availability_365,instant_bookable,host_days_on_Airbnb,Borough
13907,f,t,t,2,0,34.04135,-118.25538,Private room,1125,30,1.0,1.0,106.0,30,60,90,365,t,2158.0,City of Los Angeles
13908,t,t,t,4,407,33.83534,-118.36853,Private room,1125,3,1.0,1.0,82.0,1,13,25,25,t,2581.0,Other Cities
13909,f,t,t,2,5,34.07147,-118.37014,Entire home/apt,60,0,1.0,1.0,124.0,30,0,0,0,f,1533.0,City of Los Angeles
13910,f,t,t,4,0,34.14694,-118.25331,Entire home/apt,1125,0,2.0,2.0,225.0,60,0,0,0,f,3036.0,Other Cities
13911,f,t,t,1,21,34.06149,-117.92493,Private room,1125,0,1.0,1.0,50.0,1,0,3,278,f,1239.0,Other Cities
13912,t,t,f,8,14,34.07439,-118.60274,Entire home/apt,1125,6,4.0,4.0,500.0,7,14,24,259,f,2600.0,Unincorporated Areas
13913,f,t,t,2,8,34.05641,-118.36375,Entire home/apt,450,0,1.0,1.0,85.0,300,0,0,0,t,3271.0,City of Los Angeles
13914,f,t,t,4,7,34.14701,-118.25455,Entire home/apt,1125,0,2.0,2.0,280.0,28,0,0,0,f,2238.0,Other Cities
13915,f,t,t,2,6,33.89995,-118.11038,Private room,60,20,1.0,2.0,91.0,1,50,52,52,t,2269.0,Other Cities
13916,t,t,t,2,203,34.17085,-118.33783,Entire home/apt,1125,1,,1.0,164.0,2,22,52,52,f,2643.0,Other Cities
13917,f,t,t,2,38,34.1857,-118.19793,Entire home/apt,130,8,,1.0,160.0,5,20,37,42,f,2169.0,Other Cities
13918,t,t,t,2,48,34.09123,-118.60211,Entire home/apt,1125,0,1.0,1.0,101.0,1,0,0,0,f,1577.0,Unincorporated Areas
13919,f,t,f,2,2,33.98741,-118.46319,Entire home/apt,1125,28,2.0,2.0,300.0,30,58,88,363,f,1272.0,City of Los Angeles
13920,t,t,t,6,16,34.10496,-118.27221,Entire home/apt,1125,30,2.0,2.0,295.0,31,60,90,180,f,3267.0,City of Los Angeles
13921,t,t,t,1,128,34.11238,-118.21582,Entire home/apt,15,12,,1.0,104.0,2,35,65,340,f,2650.0,City of Los Angeles
13922,t,t,t,4,83,34.12637,-117.81458,Private room,7,2,1.0,2.0,45.0,1,2,9,233,f,2181.0,Other Cities
13923,f,t,t,2,21,33.86314,-118.0753,Private room,1125,0,1.0,1.0,45.0,31,0,0,125,f,708.0,Other Cities
13924,f,t,t,2,160,33.98534,-118.4726,Entire home/apt,60,18,,1.0,299.0,2,30,52,158,t,3920.0,City of Los Angeles
13925,f,t,t,2,9,34.04901,-118.26067,Private room,30,30,1.0,1.0,229.0,30,60,90,90,t,2745.0,City of Los Angeles
13926,t,t,f,2,79,34.03963,-118.35042,Entire home/apt,1125,0,1.0,2.0,73.0,31,0,2,211,t,1239.0,City of Los Angeles
13927,f,t,t,10,9,34.03788,-118.61384,Entire home/apt,28,0,4.0,5.0,1310.0,7,6,10,152,f,2952.0,Other Cities
13928,f,t,t,7,4,34.01501,-118.23008,Entire home/apt,1125,29,,3.0,215.0,30,59,89,89,t,2660.0,City of Los Angeles
13929,f,t,t,2,120,34.08394,-118.30436,Private room,100,0,1.0,1.0,46.0,30,0,0,199,t,2312.0,City of Los Angeles
13931,t,t,t,2,63,34.08994,-118.13858,Entire home/apt,1125,0,,1.0,167.0,2,14,44,134,f,2119.0,Other Cities
13932,t,t,t,2,164,34.12774,-118.34969,Entire home/apt,1125,8,,2.0,173.0,3,13,25,270,f,2195.0,City of Los Angeles
13933,t,t,t,5,179,33.9578,-118.36618,Entire home/apt,1125,8,2.0,3.0,150.0,3,26,50,50,f,2727.0,Other Cities
13934,f,t,t,2,10,33.76843,-118.16872,Entire home/apt,90,1,1.0,2.0,250.0,31,1,1,203,f,2678.0,Other Cities
13935,f,t,f,4,52,33.97828,-118.36899,Entire home/apt,1125,30,2.0,4.0,75.0,31,56,56,56,f,3233.0,Other Cities
13936,t,t,t,4,126,34.11589,-118.62081,Private room,10,26,,2.0,95.0,1,56,86,86,f,2505.0,Unincorporated Areas
13937,f,t,t,1,1,33.82123,-118.21161,Entire home/apt,40,0,,1.0,20.0,31,0,0,0,f,1611.0,Other Cities
13938,f,t,t,3,12,34.10617,-118.34584,Entire home/apt,30,0,1.0,1.0,99.0,30,0,0,0,f,1236.0,City of Los Angeles
13940,f,t,t,2,0,34.0687,-118.133,Private room,90,0,1.0,2.0,65.0,2,0,0,0,f,2251.0,Other Cities
13942,f,t,t,2,4,34.10832,-118.03552,Private room,1125,0,1.0,1.0,60.0,1,0,0,0,f,3188.0,Other Cities
13943,f,t,f,2,2,34.12642,-118.01362,Private room,1125,0,1.0,1.0,40.0,1,0,0,0,t,1476.0,Other Cities
13944,f,t,t,1,1,34.17335,-118.60001,Private room,90,4,1.0,1.0,80.0,30,30,60,60,t,1762.0,City of Los Angeles
13945,f,t,t,3,0,34.02408,-118.27952,Private room,84,0,1.0,3.0,55.0,63,0,0,0,f,1560.0,City of Los Angeles
13946,t,t,t,5,104,33.76999,-118.18608,Entire home/apt,93,2,2.0,4.0,113.0,14,5,18,18,f,2597.0,Other Cities
13947,f,t,t,2,106,33.77244,-118.19492,Entire home/apt,29,21,,1.0,154.0,2,51,81,81,f,1426.0,Other Cities
13948,t,t,f,4,47,34.20051,-118.55877,Private room,93,0,,2.0,74.0,30,0,3,93,t,3094.0,City of Los Angeles
13950,f,t,t,2,2,34.48214,-118.33467,Private room,1125,30,1.0,1.0,300.0,1,60,90,269,f,2845.0,Unincorporated Areas
13951,t,t,t,6,46,33.99548,-118.47939,Entire home/apt,1125,0,3.0,5.0,233.0,31,0,0,125,f,2080.0,City of Los Angeles
13952,f,t,t,2,15,33.995071,-118.294235,Entire home/apt,1125,5,,1.0,75.0,30,35,65,154,f,3178.0,City of Los Angeles
13953,t,t,t,2,121,33.94077,-118.32698,Private room,30,30,1.0,1.0,500.0,3,60,90,90,f,1277.0,Other Cities
13954,f,t,t,4,44,33.97121,-118.45427,Entire home/apt,1125,0,1.0,2.0,219.0,1,0,0,0,f,1622.0,Unincorporated Areas
13955,f,t,t,1,10,33.92973,-118.14198,Private room,1125,8,1.0,2.0,75.0,2,8,8,172,f,1368.0,Other Cities
13956,f,t,t,1,4,34.05386,-118.37324,Private room,120,1,1.0,1.0,73.0,30,3,33,308,f,1657.0,City of Los Angeles
13957,f,t,f,1,0,34.17268,-118.36934,Private room,1125,0,1.0,1.0,80.0,30,0,0,0,f,1235.0,City of Los Angeles
13958,t,t,t,2,187,34.0932,-118.21957,Entire home/apt,90,0,,1.0,49.0,30,0,0,0,t,2932.0,City of Los Angeles
13959,f,t,t,1,44,33.71416,-118.3091,Entire home/apt,1125,20,,1.0,75.0,30,31,38,313,f,3250.0,City of Los Angeles
13960,t,t,t,5,15,33.99181,-118.46445,Entire home/apt,1125,30,3.0,2.0,1438.0,3,60,90,90,t,3319.0,City of Los Angeles
13961,f,t,t,2,7,33.803,-118.18658,Entire home/apt,1125,0,,1.0,65.0,31,0,0,0,t,2853.0,Other Cities
13962,t,t,t,1,12,34.14231,-118.13454,Private room,100,0,1.0,1.0,67.0,31,0,14,14,f,3610.0,Other Cities
13963,f,t,f,3,7,34.09283,-118.27491,Entire home/apt,1125,0,1.0,2.0,99.0,30,0,0,0,f,1225.0,City of Los Angeles
13964,f,t,f,2,18,34.09232,-118.06316,Private room,1125,0,1.0,1.0,45.0,1,0,0,0,t,1235.0,Other Cities
13965,f,t,t,4,11,33.7679,-118.1408,Entire home/apt,1125,0,2.0,3.0,125.0,31,0,0,0,f,1609.0,Other Cities
13967,f,t,t,4,40,33.76486,-118.16596,Entire home/apt,1125,14,1.0,2.0,141.0,1,26,38,304,t,2229.0,Other Cities
13968,f,t,t,4,179,34.08531,-118.36449,Entire home/apt,25,14,2.0,2.0,302.0,2,19,19,19,t,3893.0,City of Los Angeles
13969,f,t,f,8,197,33.9303,-118.36463,Entire home/apt,1125,7,3.0,5.0,275.0,3,20,42,132,t,1235.0,Other Cities
13970,f,t,t,2,15,34.07278,-118.17251,Entire home/apt,30,0,1.0,1.0,110.0,2,4,34,213,f,1401.0,City of Los Angeles
13971,f,t,t,6,48,34.19783,-118.47041,Entire home/apt,1125,20,2.0,2.0,275.0,5,20,45,45,f,3144.0,City of Los Angeles
13972,f,t,t,2,89,34.01652,-118.49342,Entire home/apt,45,9,2.0,2.0,281.0,5,18,27,27,f,1965.0,Other Cities
13973,f,t,t,6,6,34.05476,-118.35828,Entire home/apt,364,22,4.0,7.0,360.0,30,52,82,82,f,3902.0,City of Los Angeles
13974,t,t,f,8,30,34.17473,-118.38262,Entire home/apt,1125,6,3.0,4.0,336.0,3,6,6,6,f,3106.0,City of Los Angeles
13975,f,t,t,2,29,33.76553,-118.3669,Entire home/apt,1125,0,,1.0,100.0,30,11,41,316,t,2229.0,Other Cities
13976,f,t,f,2,0,33.98356,-118.38359,Private room,1125,0,1.0,1.0,90.0,2,0,0,0,f,1795.0,Other Cities
13979,f,t,t,1,0,34.17618,-118.5222,Private room,1125,0,1.0,1.0,70.0,30,0,0,0,f,3410.0,City of Los Angeles
13980,f,t,t,5,7,34.10334,-118.33132,Entire home/apt,60,30,2.0,5.0,170.0,30,60,90,365,f,1225.0,City of Los Angeles
13981,f,t,t,2,100,33.98,-118.39865,Private room,60,0,1.0,2.0,75.0,30,0,0,0,f,1235.0,City of Los Angeles
13982,f,t,f,1,0,34.08507,-117.97296,Private room,5,0,1.0,1.0,120.0,1,0,0,0,f,1235.0,Other Cities
13983,t,t,t,1,8,33.96494,-118.4142,Entire home/apt,282,11,,1.0,120.0,45,41,71,71,f,3691.0,City of Los Angeles
13984,f,t,t,3,4,34.17216,-118.36938,Private room,1125,0,1.0,1.0,89.0,30,0,0,0,f,2894.0,City of Los Angeles
13986,f,t,t,2,27,34.17358,-118.38159,Entire home/apt,1125,0,1.0,1.0,99.0,30,0,0,0,f,3110.0,City of Los Angeles
13988,f,t,t,3,37,34.13161,-118.25902,Entire home/apt,1125,11,1.0,2.0,220.0,5,41,60,150,f,1507.0,Other Cities
13989,f,t,t,6,2,34.10399,-118.1318,Entire home/apt,1125,0,2.0,4.0,137.0,1,0,0,0,f,1738.0,Other Cities
13990,f,t,t,5,27,34.10246,-118.13413,Entire home/apt,1125,0,2.0,4.0,130.0,1,0,0,0,f,1738.0,Other Cities
13991,f,t,t,4,14,34.16818,-118.61559,Entire home/apt,1125,0,,2.0,91.0,30,21,27,302,t,3105.0,City of Los Angeles
13992,f,t,t,4,12,34.10357,-118.33728,Entire home/apt,1125,0,2.0,2.0,165.0,30,0,16,16,f,2448.0,City of Los Angeles
13994,f,t,f,2,2,33.97481,-117.90167,Private room,1125,0,,1.0,40.0,1,0,0,0,f,1644.0,Unincorporated Areas
13995,f,t,t,5,147,33.8387,-118.16963,Entire home/apt,28,12,3.0,3.0,239.0,2,34,64,153,f,2515.0,Other Cities
13997,f,t,t,2,11,34.06596,-118.31354,Entire home/apt,1125,0,,1.0,65.0,30,0,0,0,f,2515.0,City of Los Angeles
13998,f,t,t,7,0,34.03171,-118.51069,Entire home/apt,120,30,4.0,4.0,1200.0,30,60,90,365,t,2802.0,City of Los Angeles
13999,f,t,f,5,27,33.97962,-118.46346,Entire home/apt,1125,0,1.0,1.0,129.0,30,0,0,0,f,1229.0,City of Los Angeles
14000,f,t,f,3,22,34.04591,-118.26089,Entire home/apt,60,0,1.0,1.0,174.0,30,0,0,0,f,1229.0,City of Los Angeles
14001,f,t,f,7,23,34.10051,-118.34172,Entire home/apt,60,0,1.0,3.0,132.0,30,0,0,0,f,1240.0,City of Los Angeles
14002,f,t,f,1,0,34.17332,-118.53992,Private room,1125,0,1.0,1.0,60.0,60,0,0,0,f,1256.0,City of Los Angeles
14003,f,t,f,4,6,34.08213,-118.4719,Entire home/apt,60,30,1.0,1.0,175.0,30,60,90,90,t,3734.0,City of Los Angeles
14004,f,t,f,3,3,34.13969,-118.10678,Entire home/apt,31,0,2.0,3.0,150.0,6,0,0,0,f,1499.0,Unincorporated Areas
14005,t,t,t,4,98,33.99857,-118.45809,Entire home/apt,1125,5,,1.0,190.0,1,14,14,174,f,2160.0,City of Los Angeles
14006,t,t,t,5,0,34.03619,-118.52505,Private room,180,4,2.0,3.0,282.0,30,31,61,61,f,1479.0,City of Los Angeles
14007,f,t,t,2,82,34.0676,-118.3514,Private room,1125,0,1.0,1.0,70.0,30,0,0,0,t,2352.0,City of Los Angeles
14009,f,t,t,2,3,34.03095,-118.34322,Private room,1125,6,1.0,1.0,150.0,30,36,66,332,f,3980.0,City of Los Angeles
14011,f,t,f,2,3,33.98769,-117.93384,Private room,90,1,1.0,1.0,59.0,60,1,4,4,f,2378.0,Unincorporated Areas
14012,f,t,t,3,5,34.04934,-118.25061,Entire home/apt,35,1,,1.0,100.0,30,1,21,21,f,1342.0,City of Los Angeles
14013,f,t,t,2,28,34.23868,-118.46372,Private room,1125,14,1.0,1.0,60.0,30,44,74,74,t,1292.0,City of Los Angeles
14014,t,t,t,4,12,34.03319,-118.48642,Entire home/apt,1125,15,2.0,2.0,174.0,31,24,54,329,t,4025.0,Other Cities
14015,f,t,t,2,0,34.46052,-118.51555,Private room,1125,0,1.0,1.0,95.0,3,0,0,0,f,3333.0,Unincorporated Areas
14018,f,t,t,2,17,33.75962,-118.14421,Private room,14,0,1.0,1.0,63.0,1,0,0,0,t,3886.0,Other Cities
14019,f,t,t,2,4,33.95004,-118.12912,Private room,1125,30,1.0,1.0,95.0,1,60,90,365,f,1616.0,Other Cities
14020,f,t,t,2,3,33.99964,-118.45178,Private room,1125,0,1.0,1.0,150.0,30,0,0,0,f,3050.0,City of Los Angeles
14021,f,t,t,2,42,34.05876,-118.25808,Entire home/apt,180,0,1.0,1.0,95.0,30,0,0,0,t,1551.0,City of Los Angeles
14024,f,t,f,4,58,33.97792,-118.2401,Entire home/apt,1125,16,2.0,2.0,143.0,2,45,68,343,f,2592.0,Unincorporated Areas
14025,f,t,t,2,4,33.85202,-118.23513,Private room,1125,0,1.0,1.0,40.0,1,0,0,0,t,1932.0,Other Cities
14026,f,t,t,6,17,34.06167,-118.2443,Entire home/apt,120,0,1.0,2.0,175.0,30,0,0,0,f,2448.0,City of Los Angeles
14027,t,t,t,8,68,33.91707,-118.33706,Entire home/apt,1125,4,2.0,4.0,194.0,4,20,50,50,f,2811.0,Other Cities
14028,t,t,t,10,0,34.08678,-118.36818,Entire home/apt,1125,7,4.0,4.0,2294.0,30,7,11,286,f,2893.0,City of Los Angeles
14029,f,t,t,4,0,34.03456,-117.99605,Entire home/apt,1125,0,1.0,1.0,299.0,2,0,0,0,f,1746.0,Unincorporated Areas
14030,f,t,t,12,0,34.10069,-118.37311,Entire home/apt,1125,30,,6.0,7500.0,30,60,90,365,t,1233.0,City of Los Angeles
14031,t,t,t,2,382,33.79736,-118.20313,Entire home/apt,10,11,1.0,1.0,123.0,1,26,44,102,f,1970.0,Other Cities
14032,f,t,t,2,0,34.07031,-118.13349,Private room,90,0,3.0,4.0,190.0,2,0,0,0,f,2251.0,Other Cities
14033,t,t,t,1,105,34.00334,-118.33909,Private room,28,0,1.0,1.0,75.0,3,3,10,82,t,1705.0,Unincorporated Areas
14034,f,t,t,4,8,34.06127,-118.24612,Entire home/apt,30,0,,1.0,110.0,30,0,0,0,f,2205.0,City of Los Angeles
14035,f,t,f,6,178,34.0111,-118.31527,Entire home/apt,1125,17,2.0,2.0,160.0,2,28,51,318,t,1233.0,City of Los Angeles
14036,t,t,t,3,23,34.0602,-118.36961,Entire home/apt,1125,0,1.0,2.0,172.0,30,5,35,310,f,2034.0,City of Los Angeles
14038,f,t,f,1,0,34.24012,-118.53931,Shared room,100,0,1.0,1.0,400.0,100,0,0,0,f,1233.0,City of Los Angeles
14040,f,t,t,4,0,33.92929,-118.31507,Entire home/apt,1125,0,,2.0,125.0,1,0,0,0,f,1232.0,Other Cities
14041,t,t,t,5,3,34.00516,-118.44558,Entire home/apt,1125,0,2.0,3.0,674.0,3,13,31,70,f,1901.0,City of Los Angeles
14042,f,t,t,16,20,34.17958,-118.56613,Entire home/apt,1125,13,5.0,5.0,891.0,3,43,73,253,f,3144.0,City of Los Angeles
14043,f,t,f,4,7,34.14722,-118.00098,Entire home/apt,1125,0,1.0,3.0,148.0,20,0,0,170,f,1334.0,Other Cities
14044,f,t,t,1,2,34.06684,-118.45414,Entire home/apt,30,0,,1.0,150.0,30,0,0,0,f,2069.0,City of Los Angeles
14045,f,t,t,2,31,34.0353,-118.31746,Private room,1125,15,1.0,1.0,105.0,1,45,63,334,t,2133.0,City of Los Angeles
14046,t,t,f,3,128,34.39256,-118.41189,Entire home/apt,28,19,1.0,1.0,182.0,1,34,60,60,t,2683.0,Other Cities
14047,f,t,t,5,9,34.0655,-117.72418,Entire home/apt,365,0,1.0,3.0,98.0,1,0,0,0,f,2435.0,Other Cities
14048,f,t,f,8,85,34.11012,-118.42313,Entire home/apt,90,9,4.0,4.0,929.0,30,32,62,181,f,1228.0,City of Los Angeles
14049,f,t,t,4,75,33.99268,-118.42305,Entire home/apt,1125,0,1.0,2.0,115.0,30,0,0,30,t,1612.0,City of Los Angeles
14051,t,t,t,6,242,33.92651,-118.28905,Entire home/apt,29,13,3.0,4.0,305.0,1,33,63,165,f,2402.0,City of Los Angeles
14052,f,t,f,4,0,34.05004,-118.43146,Entire home/apt,1125,30,2.0,2.0,200.0,365,60,90,365,f,1236.0,City of Los Angeles
14056,f,t,t,2,39,34.19926,-118.41897,Private room,35,0,1.0,1.0,23.0,30,0,0,0,f,2266.0,City of Los Angeles
14058,t,t,t,5,11,34.12634,-118.35001,Entire home/apt,26,0,3.0,4.0,415.0,2,3,6,6,f,2858.0,City of Los Angeles
14059,f,t,t,4,104,33.87963,-118.29284,Entire home/apt,28,20,1.0,2.0,108.0,1,50,79,79,f,3046.0,Other Cities
14060,f,t,t,2,1,33.97961,-118.37045,Private room,1125,0,1.0,1.0,59.0,30,0,0,0,t,2963.0,City of Los Angeles
14061,f,t,t,8,12,34.08559,-117.98155,Entire home/apt,1125,0,4.0,6.0,239.0,5,4,33,33,f,2619.0,Other Cities
